num,bottom_left,top_right,type
water_1,"0,135","32,180",WATER
water_2,"0,0","32,45",WATER
water_3,"128,135","160,180",WATER
water_4,"128,0","160,45",WATER
eengezinswoning_1,"89, 151","97, 143",EENGEZINSWONING
bungalow_1,"87, 81","98, 74",BUNGALOW
bungalow_2,"83, 98","94, 91",BUNGALOW
eengezinswoning_2,"121, 99","129, 91",EENGEZINSWONING
eengezinswoning_3,"71, 65","79, 57",EENGEZINSWONING
eengezinswoning_4,"74, 26","82, 18",EENGEZINSWONING
bungalow_3,"24, 64","35, 57",BUNGALOW
eengezinswoning_5,"63, 133","71, 125",EENGEZINSWONING
eengezinswoning_6,"74, 145","82, 137",EENGEZINSWONING
maison_11,"32, 16","44, 6",MAISON
eengezinswoning_7,"59, 53","67, 45",EENGEZINSWONING
eengezinswoning_8,"58, 150","66, 142",EENGEZINSWONING
eengezinswoning_9,"123, 117","131, 109",EENGEZINSWONING
eengezinswoning_10,"47, 67","55, 59",EENGEZINSWONING
eengezinswoning_11,"83, 64","91, 56",EENGEZINSWONING
bungalow_4,"42, 118","53, 111",BUNGALOW
bungalow_5,"25, 83","36, 76",BUNGALOW
eengezinswoning_12,"102, 127","110, 119",EENGEZINSWONING
eengezinswoning_13,"90, 139","98, 131",EENGEZINSWONING
eengezinswoning_14,"72, 53","80, 45",EENGEZINSWONING
bungalow_6,"26, 102","37, 95",BUNGALOW
maison_12,"116, 150","128, 140",MAISON
bungalow_7,"146, 106","157, 99",BUNGALOW
eengezinswoning_15,"103, 97","111, 89",EENGEZINSWONING
maison_13,"113, 76","125, 66",MAISON
eengezinswoning_16,"62, 118","70, 110",EENGEZINSWONING
bungalow_8,"104, 177","115, 170",BUNGALOW
bungalow_9,"114, 51","125, 44",BUNGALOW
bungalow_10,"3, 74","14, 67",BUNGALOW
eengezinswoning_17,"77, 130","85, 122",EENGEZINSWONING
eengezinswoning_18,"80, 40","88, 32",EENGEZINSWONING
eengezinswoning_19,"66, 101","74, 93",EENGEZINSWONING
eengezinswoning_20,"77, 10","85, 2",EENGEZINSWONING
maison_14,"142, 55","154, 45",MAISON
eengezinswoning_21,"92, 115","100, 107",EENGEZINSWONING
eengezinswoning_22,"49, 102","57, 94",EENGEZINSWONING
eengezinswoning_23,"69, 83","77, 75",EENGEZINSWONING
eengezinswoning_24,"105, 114","113, 106",EENGEZINSWONING
eengezinswoning_25,"88, 26","96, 18",EENGEZINSWONING
eengezinswoning_26,"95, 61","103, 53",EENGEZINSWONING
eengezinswoning_27,"77, 115","85, 107",EENGEZINSWONING
eengezinswoning_28,"102, 25","110, 17",EENGEZINSWONING
maison_15,"32, 173","44, 163",MAISON
maison_16,"142, 82","154, 72",MAISON
bungalow_11,"3, 94","14, 87",BUNGALOW
eengezinswoning_29,"84, 52","92, 44",EENGEZINSWONING
maison_17,"71, 174","83, 164",MAISON
maison_18,"6, 135","18, 125",MAISON
eengezinswoning_30,"97, 41","105, 33",EENGEZINSWONING
eengezinswoning_31,"46, 54","54, 46",EENGEZINSWONING
eengezinswoning_32,"93, 10","101, 2",EENGEZINSWONING
eengezinswoning_33,"90, 127","98, 119",EENGEZINSWONING
maison_19,"142, 135","154, 125",MAISON
bungalow_12,"48, 84","59, 77",BUNGALOW
eengezinswoning_34,"59, 67","67, 59",EENGEZINSWONING
bungalow_13,"117, 10","128, 3",BUNGALOW
eengezinswoning_35,"49, 135","57, 127",EENGEZINSWONING
eengezinswoning_36,"120, 32","128, 24",EENGEZINSWONING
bungalow_14,"3, 52","14, 45",BUNGALOW
bungalow_15,"61, 38","72, 31",BUNGALOW
